Date,Lot,Defect,Progress,Progress_Ratio,Prefix_Length,Timestamp,pH_Current,pH_std,pH_min,pH_IQR,pH_exc_high_rate,pH_Display_Excursion_Rate,Temp_Current,Temp_std,Temp_min,Temp_IQR,Temp_exc_high_rate,Temp_Display_Excursion_Rate,Voltage_Current,Voltage_std,Voltage_min,Voltage_IQR,Voltage_exc_high_rate,Voltage_Display_Excursion_Rate,EW_Raw_Probability,EW_Risk_Score,EW_Risk_Percentile,EW_Reference_Threshold,EW_Threshold_Alert,EW_Display_Status,EW_Validated,Actual_Label,EW_OOF_Raw_Probability,EW_OOF_Risk_Score,EW_OOF_Risk_Percentile,EW_OOF_Reference_Threshold,EW_OOF_Threshold_Alert,EW_OOF_Fold
2021-09-10,22,0,65,0.65,45,2021-09-10 18:36:06.700,1.85,0.1156199800985098,1.84,0.1500000000000001,0.0222222222222222,2.2222222222222223,42.48,1.4842621198440789,40.06,2.740000000000002,0.0444444444444444,0.0,19.32,1.968475670321192,10.23,2.8099999999999987,0.0444444444444444,4.444444444444445,0.00049251015,0.8088695131585463,0.7454545454545455,0.0202237516641616,False,낮음,False,정상,0.0003282358,0.8604459552259018,0.75,0.005443901754915714,False,1
2021-09-10,22,0,70,0.7,48,2021-09-10 18:36:21.700,1.93,0.115057609683581,1.84,0.1500000000000001,0.0208333333333333,2.083333333333333,44.57,1.5463971940982342,40.06,2.8149999999999977,0.0625,0.0,15.12,1.950510014682285,10.23,3.0825,0.0416666666666666,4.166666666666666,0.0004789513,0.702207410390229,0.7227272727272728,0.0302053727209568,False,낮음,False,정상,0.0004721111,1.3480231000720493,0.8045454545454546,0.006403928156942129,False,1
2021-09-10,22,0,75,0.75,52,2021-09-10 18:36:41.800,1.87,0.1135502759061863,1.84,0.1500000000000001,0.0192307692307692,1.9230769230769231,40.02,1.574280845654762,40.02,2.8149999999999977,0.0769230769230769,0.0,18.63,1.8888216058758776,10.23,2.897500000000001,0.0384615384615384,3.8461538461538463,0.0003557644,0.5341024472395044,0.7090909090909091,0.0217093117535114,False,낮음,False,정상,0.0012544887,3.631753765866098,0.8727272727272727,0.007156230043619871,False,1
2021-09-10,22,0,80,0.8,55,2021-09-10 18:36:56.800,1.93,0.1117982791408491,1.84,0.1449999999999998,0.0181818181818181,1.818181818181818,40.5,1.555494161847638,40.02,2.759999999999991,0.0727272727272727,0.0,16.05,1.858103373913343,10.23,2.830000000000002,0.0363636363636363,3.636363636363636,0.0003437269,0.4864603192032184,0.6954545454545454,0.027820948511362,False,낮음,False,정상,0.0012110174,3.5401317761945172,0.8727272727272727,0.007958420552313328,False,1
2021-09-10,22,0,100,1.0,69,2021-09-10 18:38:06.900,1.99,0.110340285875681,1.83,0.1399999999999999,0.0144927536231884,1.4492753623188406,41.78,1.5754519913288678,40.02,2.809999999999995,0.0869565217391304,0.0,15.12,1.7755189556316575,10.23,2.7200000000000024,0.0434782608695652,2.898550724637681,0.00037678334,0.3667226763538317,0.6636363636363637,0.030927175655961,False,낮음,False,정상,0.0010119736,2.039930599207701,0.8454545454545455,0.006223993841558695,False,1
2021-09-13,1,0,20,0.2,14,2021-09-13 16:29:57.000,2.19,0.1973227400384044,1.84,0.3299999999999998,0.3571428571428571,14.285714285714285,41.41,1.457885718851368,40.26,2.575000000000003,0.0714285714285714,0.0,15.82,1.3052524912575596,15.17,1.5399999999999991,0.0,0.0,0.008450296,1.6889823019960462,0.8363636363636363,0.045932300388813,False,낮음,False,정상,0.00445675,0.860816054315531,0.75,0.10472393780946732,False,1
2021-09-13,1,0,30,0.3,21,2021-09-13 16:30:32.000,2.16,0.1859608253676794,1.84,0.3299999999999998,0.2857142857142857,14.285714285714285,44.72,1.4984255228802823,40.26,2.770000000000003,0.0952380952380952,0.0,17.34,1.3486397026704529,15.17,2.28,0.0,0.0,0.0048167896,2.181841216298544,0.8727272727272727,0.0354211032390594,False,낮음,False,정상,0.0018641443,0.836041299256793,0.75,0.12384884059429169,False,1
2021-09-13,1,0,40,0.4,28,2021-09-13 16:31:07.100,1.98,0.1833762576012823,1.83,0.2925,0.25,14.285714285714285,44.74,1.5073265077806473,40.26,2.782500000000006,0.1071428571428571,0.0,15.21,1.4268709985702444,15.17,2.2075,0.0357142857142857,0.0,0.0041213706,2.342939354684492,0.8454545454545455,0.035061702132225,False,낮음,False,정상,0.0023806342,1.3004005034547343,0.7954545454545454,0.043242309242486954,False,1
2021-09-13,1,0,50,0.5,35,2021-09-13 16:31:42.100,2.03,0.1671626792814048,1.83,0.2500000000000004,0.2,11.428571428571429,41.15,1.5451182000419383,40.03,2.994999999999997,0.0857142857142857,0.0,19.01,1.4245050445150202,15.17,2.055,0.0571428571428571,0.0,0.0006197861,0.6001177111736256,0.7181818181818181,0.0189888644963502,False,낮음,False,정상,0.00032802307,0.47821435190524114,0.6818181818181818,0.010447117500007153,False,1
2021-09-13,1,0,60,0.6,41,2021-09-13 16:32:12.100,1.87,0.1618456807895839,1.83,0.2600000000000002,0.1707317073170731,9.75609756097561,40.95,1.487165293353801,40.03,2.520000000000003,0.073170731707317,0.0,16.63,1.353543272394312,15.17,2.09,0.048780487804878,0.0,0.0002865354,0.1985239534326909,0.6454545454545455,0.0195298474282026,False,낮음,False,정상,0.00033053095,0.48916540185586804,0.6909090909090909,0.009915557689964771,False,1
