Date,Lot,Progress,EW_OOF_Raw_Probability,EW_OOF_Risk_Score,EW_OOF_Risk_Percentile,EW_OOF_Reference_Threshold,EW_OOF_Threshold_Alert,EW_OOF_Fold
2021-09-29,22,75,1.45151835e-05,-0.2563979563648095,0.10454545454545454,0.031092673540115356,False,4
2021-09-30,1,75,8.13436e-05,-0.09003968692831948,0.44545454545454544,0.031092673540115356,False,4
2021-09-30,2,75,1.3846956e-05,-0.2580613982587495,0.10454545454545454,0.031092673540115356,False,4
2021-09-30,3,75,0.0065934216,16.12069981148365,0.9272727272727272,0.031092673540115356,False,4
2021-09-30,4,75,1.2090504e-05,-0.2624337936886127,0.09545454545454546,0.031092673540115356,False,4
2021-09-30,5,75,0.0007056745,1.4641287428189746,0.7954545454545454,0.031092673540115356,False,4
2021-09-30,6,75,0.00012579346,0.020610891000484213,0.5045454545454545,0.031092673540115356,False,4
2021-09-30,7,75,0.00010996691,-0.018786693464646963,0.4954545454545455,0.031092673540115356,False,4
2021-09-30,8,75,0.038720015,96.09453407090447,0.9681818181818181,0.031092673540115356,True,4
2021-09-30,9,75,1.8223527e-05,-0.24716664898303287,0.12272727272727273,0.031092673540115356,False,4
2021-09-30,10,75,1.5310914e-05,-0.2544171169412484,0.10454545454545454,0.031092673540115356,False,4
2021-09-30,11,75,3.309897e-05,-0.2101366941873274,0.22272727272727272,0.031092673540115356,False,4
2021-09-30,12,75,0.000116126444,-0.003453552097452242,0.5,0.031092673540115356,False,4
2021-09-30,13,75,0.0005307404,1.0286592687857878,0.7681818181818182,0.031092673540115356,False,4
2021-09-30,14,75,0.00088631565,1.9138049185955743,0.8272727272727273,0.031092673540115356,False,4
2021-09-30,15,75,0.0027645298,6.589307896020813,0.8954545454545455,0.031092673540115356,False,4
2021-09-30,16,75,0.00020594928,0.22014552827631156,0.6,0.031092673540115356,False,4
2021-09-30,17,75,6.175558e-05,-0.1388008188784268,0.36363636363636365,0.031092673540115356,False,4
2021-09-30,18,75,3.536748e-05,-0.20448961682107333,0.2318181818181818,0.031092673540115356,False,4
2021-09-30,19,75,0.015983732,39.49632334069767,0.95,0.031092673540115356,False,4
2021-09-30,20,75,0.00088923017,1.9210601229179785,0.8318181818181818,0.031092673540115356,False,4
2021-09-30,21,75,5.630452e-05,-0.15237032115592064,0.35,0.031092673540115356,False,4
2021-09-30,22,75,0.00011858357,0.002663059253672892,0.5,0.031092673540115356,False,4
2021-10-05,1,75,0.00028719314,0.42238864137637766,0.6772727272727272,0.031092673540115356,False,4
2021-10-05,2,75,2.9556784e-05,-0.21895438249167387,0.2,0.031092673540115356,False,4
2021-10-05,3,75,3.45987e-05,-0.206403370581502,0.22727272727272727,0.031092673540115356,False,4
2021-10-05,4,75,0.00016693363,0.12302253172666683,0.5409090909090909,0.031092673540115356,False,4
2021-10-05,5,75,1.3275703e-05,-0.2594834372695098,0.10454545454545454,0.031092673540115356,False,4
2021-10-05,6,75,2.4404608e-05,-0.23177987259307117,0.16818181818181818,0.031092673540115356,False,4
2021-10-05,7,75,1.5032545e-05,-0.2551100705680228,0.10454545454545454,0.031092673540115356,False,4
2021-10-05,8,75,5.1155053e-05,-0.16518906895686206,0.33181818181818185,0.031092673540115356,False,4
2021-10-05,9,75,0.000464788,0.864481635458766,0.759090909090909,0.031092673540115356,False,4
2021-10-05,10,75,0.0009508808,2.074529190004203,0.8409090909090909,0.031092673540115356,False,4
2021-10-05,11,75,0.0016519843,3.819810168334549,0.8681818181818182,0.031092673540115356,False,4
2021-10-05,12,75,7.510626e-05,-0.10556650302694424,0.40454545454545454,0.031092673540115356,False,4
2021-10-05,13,75,5.7914935e-05,-0.14836146431789854,0.35,0.031092673540115356,False,4
2021-10-05,14,75,0.00017680145,0.14758681972905244,0.5681818181818182,0.031092673540115356,False,4
2021-10-05,15,75,0.0006332633,1.283873045806021,0.7818181818181819,0.031092673540115356,False,4
2021-10-05,16,75,0.0001206631,0.007839697020488225,0.5045454545454545,0.031092673540115356,False,4
2021-10-05,17,75,1.37853585e-05,-0.2582147346533016,0.10454545454545454,0.031092673540115356,False,4
2021-10-05,18,75,0.00011225712,-0.013085596189434716,0.4954545454545455,0.031092673540115356,False,4
2021-10-05,19,75,0.00015910051,0.10352327355178374,0.5409090909090909,0.031092673540115356,False,4
2021-10-05,20,75,0.0500554,124.31209529216991,0.9727272727272728,0.031092673540115356,True,4
2021-10-05,21,75,8.096878e-06,-0.27237526363798487,0.045454545454545456,0.031092673540115356,False,4
2021-10-05,22,75,0.010066106,24.765372481264013,0.9363636363636364,0.031092673540115356,False,4
2021-09-28,1,80,0.004026951,8.008960199051366,0.9045454545454545,0.03310100734233856,False,4
2021-09-28,2,80,1.2771777e-05,-0.28842458037417784,0.09090909090909091,0.03310100734233856,False,4
2021-09-28,3,80,4.064474e-05,-0.2308106328970763,0.2681818181818182,0.03310100734233856,False,4
2021-09-28,4,80,9.40523e-05,-0.12041618026276489,0.44545454545454544,0.03310100734233856,False,4
2021-09-28,5,80,0.00061719684,0.9609335826689114,0.7863636363636364,0.03310100734233856,False,4
2021-09-28,6,80,0.0006091133,0.944224770188256,0.7772727272727272,0.03310100734233856,False,4
2021-09-28,7,80,1.9000468e-05,-0.2755497554720627,0.12727272727272726,0.03310100734233856,False,4
2021-09-28,8,80,0.00014050544,-0.02439666615431955,0.4772727272727273,0.03310100734233856,False,4
2021-09-28,9,80,2.5949756e-05,-0.2611854461435452,0.16818181818181818,0.03310100734233856,False,4
2021-09-28,10,80,6.070082e-05,-0.1893543343513099,0.35,0.03310100734233856,False,4
2021-09-28,11,80,0.00014176643,-0.02179016287524789,0.4772727272727273,0.03310100734233856,False,4
2021-09-28,12,80,2.9161705e-05,-0.25454628479661573,0.20454545454545456,0.03310100734233856,False,4
2021-09-28,13,80,0.0014723255,2.728500927488646,0.8636363636363636,0.03310100734233856,False,4
2021-09-28,14,80,0.00037276256,0.4556832479638714,0.6954545454545454,0.03310100734233856,False,4
2021-09-28,15,80,0.0039617075,7.8741009736901235,0.9045454545454545,0.03310100734233856,False,4
2021-09-28,16,80,0.9440627,1951.0808432611866,1.0,0.03310100734233856,True,4
2021-09-28,17,80,0.00043784644,0.5902128666903891,0.7272727272727273,0.03310100734233856,False,4
2021-09-28,18,80,0.0005430937,0.8077610060131103,0.7545454545454545,0.03310100734233856,False,4
2021-09-28,19,80,0.013674279,27.95017146583512,0.95,0.03310100734233856,False,4
2021-09-28,20,80,4.2848238e-05,-0.22625595979508922,0.2909090909090909,0.03310100734233856,False,4
2021-09-28,21,80,0.0006051787,0.9360918663441787,0.7727272727272727,0.03310100734233856,False,4
2021-09-28,22,80,0.0006095306,0.9450873180854421,0.7772727272727272,0.03310100734233856,False,4
2021-09-29,1,80,0.009754999,19.848944509799615,0.9363636363636364,0.03310100734233856,False,4
2021-09-29,2,80,8.929321e-05,-0.13025332005441909,0.4318181818181818,0.03310100734233856,False,4
2021-09-29,3,80,2.1588874e-05,-0.270199471720996,0.15454545454545454,0.03310100734233856,False,4
2021-09-29,4,80,1.9389074e-05,-0.27474650097501363,0.1318181818181818,0.03310100734233856,False,4
2021-09-29,5,80,2.9201667e-05,-0.25446368386398355,0.20454545454545456,0.03310100734233856,False,4
2021-09-29,6,80,0.0017801869,3.364856256555361,0.8636363636363636,0.03310100734233856,False,4
2021-09-29,7,80,0.0035739648,7.072629504756857,0.9045454545454545,0.03310100734233856,False,4
2021-09-29,8,80,8.682206e-06,-0.2968778020549431,0.05,0.03310100734233856,False,4
2021-09-29,9,80,0.0042599333,8.490539375179159,0.9045454545454545,0.03310100734233856,False,4
2021-09-29,10,80,6.385585e-06,-0.30162496063399497,0.00909090909090909,0.03310100734233856,False,4
